INFO: 15-07-2022 15:45:53 __init__(128) -- This is dronelog running on Drogno_0
INFO: 15-07-2022 15:45:54 printStatus(164) -- Started
INFO: 15-07-2022 15:46:13 printStatus(168) -- Drogno_0: connecting	battery: n.p.	kalman var: 0 0 0	 batterySag: 0	link quality: 0	flight time: 0s	pos 0.00 0.00 0.00	yaw: 0.00	msg/s 0.0
INFO: 15-07-2022 15:46:14 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 100.0 100.0 0.33	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -55.53 80.50 -43.34	yaw: -0.47	msg/s 0.0
INFO: 15-07-2022 15:46:15 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 100.0 100.0 0.335	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -60.34 87.56 -45.34	yaw: -0.42	msg/s 0.0
INFO: 15-07-2022 15:46:16 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 100.0 100.0 0.34	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -65.88 95.81 -47.56	yaw: -0.38	msg/s 0.0
INFO: 15-07-2022 15:46:18 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.004 0.004 0.001	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -0.03 0.08 -0.00	yaw: 0.01	msg/s 0.0
INFO: 15-07-2022 15:46:19 printStatus(168) -- Drogno_0: BAD kalman	battery: 4.13	kalman var: 0.032 0.032 0.002	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -0.18 0.59 -0.01	yaw: 0.02	msg/s 0.0
INFO: 15-07-2022 15:46:20 printStatus(168) -- Drogno_0: BAD kalman	battery: 4.13	kalman var: 0.087 0.087 0.003	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -0.49 1.58 -0.03	yaw: 0.55	msg/s 0.0
INFO: 15-07-2022 15:46:21 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.191 0.191 0.004	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -1.04 3.33 -0.05	yaw: 0.49	msg/s 0.0
INFO: 15-07-2022 15:46:22 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.302 0.302 0.006	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -1.61 5.09 -0.08	yaw: 0.43	msg/s 0.0
INFO: 15-07-2022 15:46:23 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.476 0.476 0.007	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -2.47 7.72 -0.11	yaw: 0.56	msg/s 0.0
INFO: 15-07-2022 15:46:24 printStatus(168) -- Drogno_0: out of BOX	battery: 4.13	kalman var: 0.676 0.676 0.009	 batterySag: 0.0	link quality: 35	flight time: 0s	pos -3.42 10.58 -0.14	yaw: -0.17	msg/s 0.0
