INFO: 01-08-2022 16:48:30 __init__(126) -- This is dronelog running on Drogno_3
INFO: 01-08-2022 16:48:31 printStatus(162) -- Started
INFO: 01-08-2022 16:48:38 printStatus(167) -- Drogno_3: landed	battery: n.p.	kalman var: 0 0 0	 batterySag: 0	link quality: 0	flight time: 0s	pos 0.00 0.00 0.00	yaw: 0.00	msg/s 0.0
INFO: 01-08-2022 16:48:40 printStatus(167) -- Drogno_3: ready	battery: 3.95	kalman var: 0.002 0.002 0.003	 batterySag: 0.66	link quality: 61	flight time: 0s	pos 0.03 -0.03 -0.03	yaw: -0.86	msg/s 0.0
INFO: 01-08-2022 16:48:41 printStatus(167) -- Drogno_3: ready	battery: 3.95	kalman var: 0.001 0.001 0.0	 batterySag: 0.66	link quality: 58	flight time: 0s	pos 0.00 -0.00 -0.00	yaw: -1.17	msg/s 0.0
INFO: 01-08-2022 16:48:42 printStatus(167) -- Drogno_3: ready	battery: 3.95	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 62	flight time: 0s	pos 0.00 -0.00 -0.00	yaw: -1.34	msg/s 0.0
INFO: 01-08-2022 16:48:43 printStatus(167) -- Drogno_3: ready	battery: 3.95	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 61	flight time: 0s	pos 0.00 -0.00 -0.00	yaw: -1.35	msg/s 0.0
INFO: 01-08-2022 16:48:44 printStatus(167) -- Drogno_3: ready	battery: 3.95	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 57	flight time: 0s	pos 0.00 -0.00 -0.00	yaw: -1.36	msg/s 0.0
INFO: 01-08-2022 16:48:45 printStatus(167) -- Drogno_3: ready	battery: 3.95	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 58	flight time: 0s	pos 0.00 -0.00 -0.00	yaw: -1.39	msg/s 0.0
INFO: 01-08-2022 16:48:46 printStatus(167) -- Drogno_3: ready	battery: 3.95	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 53	flight time: 0s	pos 0.00 -0.00 -0.00	yaw: -1.39	msg/s 0.0
INFO: 01-08-2022 16:48:47 printStatus(167) -- Drogno_3: ready	battery: 3.95	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 51	flight time: 0s	pos 0.00 -0.00 -0.00	yaw: -1.37	msg/s 0.0
INFO: 01-08-2022 16:48:48 printStatus(167) -- Drogno_3: ready	battery: 3.95	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 55	flight time: 0s	pos 0.00 -0.00 -0.00	yaw: -1.33	msg/s 0.0
INFO: 01-08-2022 16:48:49 printStatus(167) -- Drogno_3: ready	battery: 3.95	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 52	flight time: 0s	pos 0.00 -0.00 -0.00	yaw: -1.38	msg/s 0.0
