INFO: 01-11-2022 17:07:17 __init__(113) -- This is drone log from Drogno_0
INFO: 01-11-2022 17:07:23 log_status(191) -- Logger started
INFO: 01-11-2022 17:07:24 log_status(195) -- Drogno_0: ready	battery: 4.18                    	kalman var: 0.01 0.01 0.001                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos -0.03 -0.06 -0.00	yaw: -0.01	msg/s 0.9
INFO: 01-11-2022 17:07:25 log_status(195) -- Drogno_0: BAD kalman	battery: 4.18                    	kalman var: 0.041 0.041 0.002                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos -0.12 -0.24 -0.00	yaw: -0.02	msg/s 0.0
INFO: 01-11-2022 17:07:26 log_status(195) -- Drogno_0: BAD kalman	battery: 4.18                    	kalman var: 0.109 0.109 0.004                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -0.31 -0.63 0.00	yaw: 2.43	msg/s 0.0
INFO: 01-11-2022 17:07:27 log_status(195) -- Drogno_0: BAD kalman	battery: 4.18                    	kalman var: 0.214 0.213 0.005                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -0.59 -1.18 0.01	yaw: 8.64	msg/s 0.0
INFO: 01-11-2022 17:07:29 log_status(195) -- Drogno_0: BAD kalman	battery: 4.18                    	kalman var: 0.332 0.331 0.007                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -0.90 -1.78 -0.00	yaw: 7.67	msg/s 0.0
INFO: 01-11-2022 17:07:30 log_status(195) -- Drogno_0: BAD kalman	battery: 4.18                    	kalman var: 0.514 0.512 0.01                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -1.33 -2.60 -0.02	yaw: 6.75	msg/s 0.0
INFO: 01-11-2022 17:07:31 log_status(195) -- Drogno_0: out of BOX	battery: 4.18                    	kalman var: 0.7 0.698 0.01                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -1.74 -3.30 -0.04	yaw: 6.09	msg/s 0.0
INFO: 01-11-2022 17:07:32 log_status(195) -- Drogno_0: out of BOX	battery: 4.18                    	kalman var: 0.972 0.97 0.012                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -2.29 -4.07 -0.07	yaw: 4.96	msg/s 0.0
INFO: 01-11-2022 17:07:33 log_status(195) -- Drogno_0: out of BOX	battery: 4.18                    	kalman var: 1.238 1.237 0.012                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -2.78 -4.59 -0.10	yaw: 4.27	msg/s 0.0
INFO: 01-11-2022 17:07:34 log_status(195) -- Drogno_0: out of BOX	battery: 4.18                    	kalman var: 1.607 1.607 0.013                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -3.40 -5.00 -0.14	yaw: 3.64	msg/s 0.0
INFO: 01-11-2022 17:07:35 log_status(195) -- Drogno_0: out of BOX	battery: 4.18                    	kalman var: 1.963 1.963 0.014                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -3.95 -5.16 -0.18	yaw: 3.21	msg/s 0.0
INFO: 01-11-2022 17:07:36 log_status(195) -- Drogno_0: out of BOX	battery: 4.18                    	kalman var: 2.447 2.447 0.017                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -4.63 -5.11 -0.23	yaw: 2.73	msg/s 0.0
INFO: 01-11-2022 17:07:37 log_status(195) -- Drogno_0: out of BOX	battery: 4.18                    	kalman var: 2.898 2.895 0.02                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -5.20 -4.85 -0.28	yaw: 2.43	msg/s 0.0
INFO: 01-11-2022 17:07:38 log_status(195) -- Drogno_0: out of BOX	battery: 4.18                    	kalman var: 3.508 3.504 0.021                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -5.88 -4.27 -0.36	yaw: 2.09	msg/s 0.0
INFO: 01-11-2022 17:07:40 log_status(195) -- Drogno_0: out of BOX	battery: 4.18                    	kalman var: 4.07 4.07 0.021                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -6.45 -3.52 -0.42	yaw: 1.76	msg/s 0.0
INFO: 01-11-2022 17:07:41 log_status(195) -- Drogno_0: out of BOX	battery: 4.18                    	kalman var: 4.812 4.809 0.022                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -7.12 -2.30 -0.52	yaw: 1.39	msg/s 0.0
INFO: 01-11-2022 17:07:42 log_status(195) -- Drogno_0: out of BOX	battery: 4.18                    	kalman var: 5.492 5.492 0.022                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -7.66 -0.97 -0.60	yaw: 0.97	msg/s 0.0
INFO: 01-11-2022 17:07:43 log_status(195) -- Drogno_0: out of BOX	battery: 4.18                    	kalman var: 6.387 6.387 0.025                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -8.28 1.01 -0.71	yaw: 0.74	msg/s 0.0
INFO: 01-11-2022 17:07:44 log_status(195) -- Drogno_0: ready	battery: 4.18                    	kalman var: 7.199 7.199 0.026                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -8.77 2.98 -0.81	yaw: 0.57	msg/s 0.0
INFO: 01-11-2022 17:07:45 log_status(195) -- Drogno_0: ready	battery: 4.18                    	kalman var: 8.242 8.242 0.028                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -9.29 5.70 -0.94	yaw: 0.47	msg/s 0.0
INFO: 01-11-2022 17:07:46 log_status(195) -- Drogno_0: ready	battery: 3.98                    	kalman var: 9.195 9.18 0.045                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -9.69 8.26 -1.05	yaw: 1.57	msg/s 0.0
INFO: 01-11-2022 17:07:47 log_status(195) -- Drogno_0: ready	battery: 3.93                    	kalman var: 10.344 10.047 0.532                    	batterySag: 0.5	link quality: 36	flight time: 1s                    	pos -10.35 10.19 -1.49	yaw: 13.98	msg/s 0.0
INFO: 01-11-2022 17:07:48 log_status(195) -- Drogno_0: ready	battery: 3.95                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 36	flight time: 2s                    	pos -11.39 -11.39 -11.39	yaw: 13.41	msg/s 0.0
INFO: 01-11-2022 17:07:50 log_status(195) -- Drogno_0: ready	battery: 4.0                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 35	flight time: 3s                    	pos -12.58 -12.58 -12.58	yaw: 10.95	msg/s 0.0
INFO: 01-11-2022 17:07:51 log_status(195) -- Drogno_0: ready	battery: 3.99                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 35	flight time: 5s                    	pos -13.62 -13.62 -13.62	yaw: 8.39	msg/s 0.0
INFO: 01-11-2022 17:07:52 log_status(195) -- Drogno_0: ready	battery: 3.98                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 36	flight time: 6s                    	pos -14.58 -14.58 -14.58	yaw: 5.84	msg/s 0.0
INFO: 01-11-2022 17:07:53 log_status(195) -- Drogno_0: ready	battery: 3.98                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 36	flight time: 7s                    	pos -16.16 -16.16 -16.16	yaw: 5.46	msg/s 0.0
INFO: 01-11-2022 17:07:54 log_status(195) -- Drogno_0: ready	battery: 4.0                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 36	flight time: 8s                    	pos -18.34 -18.34 -18.34	yaw: 5.98	msg/s 9.1
INFO: 01-11-2022 17:07:55 log_status(195) -- Drogno_0: ready	battery: 4.01                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 36	flight time: 9s                    	pos -20.99 -20.99 -20.99	yaw: 9.83	msg/s 10.0
INFO: 01-11-2022 17:07:56 log_status(195) -- Drogno_0: ready	battery: 3.98                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 37	flight time: 10s                    	pos -0.01 -0.01 -0.01	yaw: 0.91	msg/s 5.5
INFO: 01-11-2022 17:07:57 log_status(195) -- Drogno_0: ready	battery: 3.97                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 36	flight time: 11s                    	pos -0.14 -0.14 -0.14	yaw: -0.90	msg/s 0.0
INFO: 01-11-2022 17:07:58 log_status(195) -- Drogno_0: ready	battery: 3.95                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 36	flight time: 12s                    	pos -0.12 -0.12 -0.12	yaw: -1.30	msg/s 0.0
INFO: 01-11-2022 17:07:59 log_status(195) -- Drogno_0: ready	battery: 3.92                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 36	flight time: 13s                    	pos 0.04 0.04 0.04	yaw: -1.50	msg/s 0.0
INFO: 01-11-2022 17:08:01 log_status(195) -- Drogno_0: ready	battery: 3.9                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 36	flight time: 14s                    	pos 0.17 0.17 0.17	yaw: -2.19	msg/s 0.0
INFO: 01-11-2022 17:08:02 log_status(195) -- Drogno_0: ready	battery: 3.89                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 36	flight time: 16s                    	pos 0.08 0.08 0.08	yaw: -2.94	msg/s 0.0
INFO: 01-11-2022 17:08:03 log_status(195) -- Drogno_0: ready	battery: 3.91                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 36	flight time: 17s                    	pos -0.31 -0.31 -0.31	yaw: -2.46	msg/s 0.0
INFO: 01-11-2022 17:08:04 log_status(195) -- Drogno_0: ready	battery: 3.88                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 36	flight time: 18s                    	pos -1.17 -1.17 -1.17	yaw: -3.19	msg/s 0.0
INFO: 01-11-2022 17:08:05 log_status(195) -- Drogno_0: ready	battery: 3.88                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 36	flight time: 19s                    	pos -2.69 -2.69 -2.69	yaw: -2.12	msg/s 0.0
INFO: 01-11-2022 17:08:06 log_status(195) -- Drogno_0: ready	battery: 3.88                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 35	flight time: 20s                    	pos -0.00 -0.00 -0.00	yaw: -5.79	msg/s 0.0
INFO: 01-11-2022 17:08:07 log_status(195) -- Drogno_0: ready	battery: 3.93                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 35	flight time: 21s                    	pos -0.17 -0.17 -0.17	yaw: -2.14	msg/s 0.0
INFO: 01-11-2022 17:08:08 log_status(195) -- Drogno_0: ready	battery: 3.94                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 36	flight time: 22s                    	pos -1.01 -1.01 -1.01	yaw: -1.85	msg/s 0.0
INFO: 01-11-2022 17:08:09 log_status(195) -- Drogno_0: ready	battery: 3.94                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 35	flight time: 23s                    	pos -2.88 -2.88 -2.88	yaw: -1.91	msg/s 0.0
INFO: 01-11-2022 17:08:10 log_status(195) -- Drogno_0: ready	battery: 3.94                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 35	flight time: 24s                    	pos -5.84 -5.84 -5.84	yaw: -2.08	msg/s 0.0
INFO: 01-11-2022 17:08:12 log_status(195) -- Drogno_0: ready	battery: 3.93                    	kalman var: 10.742 10.461 0.559                    	batterySag: 0.5	link quality: 35	flight time: 25s                    	pos -9.90 -9.90 -9.90	yaw: -4.40	msg/s 0.0
