INFO: 26-10-2022 18:13:59 __init__(111) -- This is drone log from Drogno_1
INFO: 26-10-2022 18:14:00 log_status(393) -- Logger started
INFO: 26-10-2022 18:14:02 log_status(397) -- Drogno_1: BAD kalman	battery: 4.07                    	kalman var: 1.617 1.617 0.264                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 0.31 0.39 -3.87	yaw: 0.03	msg/s 0.0
INFO: 26-10-2022 18:14:03 log_status(397) -- Drogno_1: BAD kalman	battery: 4.07                    	kalman var: 3.195 3.193 0.064                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -1.15 1.74 1.88	yaw: -23.67	msg/s 0.0
INFO: 26-10-2022 18:14:04 log_status(397) -- Drogno_1: ready	battery: 4.04                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos 1.76 1.49 2.72	yaw: -21.59	msg/s 0.0
INFO: 26-10-2022 18:14:05 log_status(397) -- Drogno_1: ready	battery: 4.07                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -2.00 2.30 -0.51	yaw: -1.91	msg/s 0.0
INFO: 26-10-2022 18:14:06 log_status(397) -- Drogno_1: ready	battery: 4.07                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -0.95 2.08 0.32	yaw: -23.06	msg/s 0.0
INFO: 26-10-2022 18:14:08 log_status(397) -- Drogno_1: ready	battery: 4.07                    	kalman var: 0.002 0.0 0.002                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos 0.03 1.88 1.20	yaw: -23.11	msg/s 0.0
INFO: 26-10-2022 18:14:09 log_status(397) -- Drogno_1: out of BOX	battery: 4.07                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -9.60 4.11 -7.81	yaw: -40.47	msg/s 0.0
INFO: 26-10-2022 18:14:10 log_status(397) -- Drogno_1: ready	battery: 4.07                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -1.03 2.09 0.17	yaw: -12.31	msg/s 0.0
INFO: 26-10-2022 18:14:11 log_status(397) -- Drogno_1: ready	battery: 4.07                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -0.88 2.06 0.38	yaw: -22.88	msg/s 0.0
INFO: 26-10-2022 18:14:12 log_status(397) -- Drogno_1: ready	battery: 4.07                    	kalman var: 0.003 0.0 0.002                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos 0.22 1.85 1.34	yaw: -22.59	msg/s 0.0
INFO: 26-10-2022 18:14:13 log_status(397) -- Drogno_1: ready	battery: 4.04                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos 1.53 1.53 2.51	yaw: -19.58	msg/s 0.0
INFO: 26-10-2022 18:14:14 log_status(397) -- Drogno_1: ready	battery: 4.07                    	kalman var: 0.002 0.0 0.0                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -1.04 2.10 0.26	yaw: -19.50	msg/s 0.0
INFO: 26-10-2022 18:14:15 log_status(397) -- Drogno_1: out of BOX	battery: 4.04                    	kalman var: 0.003 0.0 0.001                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -3.28 2.58 -1.71	yaw: -22.72	msg/s 0.0
INFO: 26-10-2022 18:14:16 log_status(397) -- Drogno_1: out of BOX	battery: 4.07                    	kalman var: 0.006 0.001 0.002                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -6.60 3.31 -4.66	yaw: -22.70	msg/s 0.0
INFO: 26-10-2022 18:14:17 log_status(397) -- Drogno_1: out of BOX	battery: 4.07                    	kalman var: 0.008 0.001 0.002                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -9.73 3.99 -7.44	yaw: -23.19	msg/s 0.0
INFO: 26-10-2022 18:14:19 log_status(397) -- Drogno_1: out of BOX	battery: 4.07                    	kalman var: 0.011 0.001 0.004                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -15.02 5.15 -12.12	yaw: -23.16	msg/s 0.0
INFO: 26-10-2022 18:14:20 log_status(397) -- Drogno_1: out of BOX	battery: 4.07                    	kalman var: 0.015 0.002 0.004                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -20.67 6.38 -17.11	yaw: -22.95	msg/s 0.0
INFO: 26-10-2022 18:14:21 log_status(397) -- Drogno_1: out of BOX	battery: 4.07                    	kalman var: 0.02 0.002 0.006                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -28.75 8.13 -24.25	yaw: -23.20	msg/s 0.0
INFO: 26-10-2022 18:14:22 log_status(397) -- Drogno_1: out of BOX	battery: 4.07                    	kalman var: 0.024 0.003 0.007                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -37.16 9.98 -31.69	yaw: -23.31	msg/s 0.0
INFO: 26-10-2022 18:14:23 log_status(397) -- Drogno_1: out of BOX	battery: 4.04                    	kalman var: 0.031 0.004 0.008                    	batterySag: 0.5	link quality: 56	flight time: 0s                    	pos -48.31 12.41 -41.53	yaw: -22.86	msg/s 0.0
INFO: 26-10-2022 18:14:24 log_status(397) -- Drogno_1: out of BOX	battery: 4.04                    	kalman var: 0.038 0.005 0.009                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos -59.38 14.80 -51.34	yaw: -23.30	msg/s 0.0
INFO: 26-10-2022 18:14:25 log_status(397) -- Drogno_1: out of BOX	battery: 4.04                    	kalman var: 0.047 0.006 0.01                    	batterySag: 0.5	link quality: 52	flight time: 0s                    	pos -74.44 18.11 -64.62	yaw: -23.27	msg/s 0.0
INFO: 26-10-2022 18:14:26 log_status(397) -- Drogno_1: out of BOX	battery: 4.04                    	kalman var: 0.054 0.037 0.011                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -83.38 19.80 -72.25	yaw: 28.94	msg/s 0.0
INFO: 26-10-2022 18:14:27 log_status(397) -- Drogno_1: ready	battery: 4.07                    	kalman var: 0.003 0.003 0.001                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -0.05 -0.21 -0.02	yaw: 23.41	msg/s 0.0
INFO: 26-10-2022 18:14:28 log_status(397) -- Drogno_1: BAD kalman	battery: 4.06                    	kalman var: 0.025 0.02 0.008                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -0.14 -1.74 -0.20	yaw: 30.12	msg/s 0.0
INFO: 26-10-2022 18:14:30 log_status(397) -- Drogno_1: out of BOX	battery: 4.06                    	kalman var: 0.082 0.059 0.026                    	batterySag: 0.5	link quality: 62	flight time: 0s                    	pos -0.55 -5.97 -0.78	yaw: 20.36	msg/s 0.0
INFO: 26-10-2022 18:14:31 log_status(397) -- Drogno_1: out of BOX	battery: 4.07                    	kalman var: 0.156 0.105 0.055                    	batterySag: 0.5	link quality: 63	flight time: 0s                    	pos -1.28 -11.97 -1.75	yaw: 13.36	msg/s 0.0
INFO: 26-10-2022 18:14:32 log_status(397) -- Drogno_1: out of BOX	battery: 4.04                    	kalman var: 0.279 0.218 0.07                    	batterySag: 0.5	link quality: 67	flight time: 0s                    	pos -2.71 -22.70 -3.82	yaw: 11.27	msg/s 0.0
INFO: 26-10-2022 18:14:33 log_status(397) -- Drogno_1: ready	battery: 4.06                    	kalman var: 0.002 0.002 0.001                    	batterySag: 0.5	link quality: 68	flight time: 0s                    	pos -0.10 -0.55 -0.22	yaw: 7.95	msg/s 0.0
INFO: 26-10-2022 18:14:34 log_status(397) -- Drogno_1: ready	battery: 4.03                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 60	flight time: 0s                    	pos -0.00 -0.03 -0.01	yaw: 1.52	msg/s 0.0
INFO: 26-10-2022 18:14:35 log_status(397) -- Drogno_1: out of BOX	battery: 4.06                    	kalman var: 0.012 0.012 0.001                    	batterySag: 0.5	link quality: 58	flight time: 0s                    	pos -0.74 -3.62 -1.30	yaw: 1.18	msg/s 0.0
INFO: 26-10-2022 18:14:36 log_status(397) -- Drogno_1: ready	battery: 4.11                    	kalman var: 0.005 0.005 0.001                    	batterySag: 0.5	link quality: 55	flight time: 0s                    	pos -0.31 -0.79 -0.17	yaw: 6.81	msg/s 0.0
INFO: 26-10-2022 18:14:37 log_status(397) -- Drogno_1: out of BOX	battery: 4.13                    	kalman var: 0.029 0.026 0.006                    	batterySag: 0.5	link quality: 59	flight time: 0s                    	pos -1.85 -4.93 -1.05	yaw: -18.11	msg/s 0.0
INFO: 26-10-2022 18:14:38 log_status(397) -- Drogno_1: out of BOX	battery: 4.16                    	kalman var: 0.0 0.002 0.002                    	batterySag: 0.5	link quality: 55	flight time: 0s                    	pos -4.00 2.22 -2.84	yaw: 76.50	msg/s 0.0
INFO: 26-10-2022 18:14:39 log_status(397) -- Drogno_1: out of BOX	battery: 4.17                    	kalman var: 0.0 0.003 0.002                    	batterySag: 0.5	link quality: 53	flight time: 0s                    	pos -4.20 2.17 -2.91	yaw: 80.38	msg/s 0.0
INFO: 26-10-2022 18:14:41 log_status(397) -- Drogno_1: out of BOX	battery: 4.17                    	kalman var: 0.0 0.005 0.002                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -6.80 2.45 -5.31	yaw: 78.31	msg/s 0.0
INFO: 26-10-2022 18:14:42 log_status(397) -- Drogno_1: out of BOX	battery: 4.17                    	kalman var: 0.0 0.008 0.003                    	batterySag: 0.5	link quality: 53	flight time: 0s                    	pos -12.14 3.09 -10.32	yaw: 80.81	msg/s 0.0
INFO: 26-10-2022 18:14:43 log_status(397) -- Drogno_1: out of BOX	battery: 4.18                    	kalman var: 0.002 0.017 0.003                    	batterySag: 0.5	link quality: 53	flight time: 0s                    	pos -22.59 4.38 -19.94	yaw: 78.56	msg/s 0.0
INFO: 26-10-2022 18:14:44 log_status(397) -- Drogno_1: ready	battery: 4.18                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 0.00 -0.00 0.00	yaw: 0.00	msg/s 0.0
INFO: 26-10-2022 18:14:45 log_status(397) -- Drogno_1: ready	battery: 4.18                    	kalman var: 0.0 0.001 0.001                    	batterySag: 0.5	link quality: 53	flight time: 0s                    	pos 0.28 1.63 1.31	yaw: 77.19	msg/s 0.0
INFO: 26-10-2022 18:14:46 log_status(397) -- Drogno_1: ready	battery: 4.18                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 0s                    	pos 1.79 1.45 2.74	yaw: 74.31	msg/s 0.0
INFO: 26-10-2022 18:14:47 log_status(397) -- Drogno_1: ready	battery: 4.18                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 0s                    	pos 1.68 1.47 2.63	yaw: 77.81	msg/s 0.0
INFO: 26-10-2022 18:14:48 log_status(397) -- Drogno_1: ready	battery: 4.18                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 0s                    	pos 1.71 1.47 2.66	yaw: 78.56	msg/s 0.0
INFO: 26-10-2022 18:14:49 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 0s                    	pos 1.70 1.46 2.65	yaw: 77.31	msg/s 0.0
INFO: 26-10-2022 18:14:50 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 78.56	msg/s 0.0
