INFO: 27-10-2022 18:07:10 __init__(112) -- This is drone log from Drogno_3
INFO: 27-10-2022 18:07:11 log_status(395) -- Logger started
INFO: 27-10-2022 18:07:13 log_status(399) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 1.639 1.639 0.263                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -0.26 -0.24 -3.95	yaw: 0.02	msg/s 0.0
INFO: 27-10-2022 18:07:14 log_status(399) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 3.174 3.174 0.264                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -0.53 -0.50 -5.75	yaw: 0.03	msg/s 0.0
INFO: 27-10-2022 18:07:15 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.242 5.242 0.069                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos 0.06 -0.09 8.39	yaw: 15.86	msg/s 0.0
INFO: 27-10-2022 18:07:16 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 7.727 7.723 0.07                    	batterySag: 0.5	link quality: 40	flight time: 0s                    	pos -0.04 -0.41 9.40	yaw: 15.77	msg/s 0.0
INFO: 27-10-2022 18:07:18 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 11.336 11.336 0.071                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -0.24 -0.96 10.59	yaw: 15.79	msg/s 0.0
INFO: 27-10-2022 18:07:19 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.0 0.021 0.072                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos 1.47 -0.46 11.59	yaw: -1.42	msg/s 0.0
INFO: 27-10-2022 18:07:20 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.72 0.37 0.23	yaw: -0.73	msg/s 0.0
INFO: 27-10-2022 18:07:21 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.005 0.001 0.001                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -5.42 -1.53 -4.35	yaw: -4.13	msg/s 0.0
INFO: 27-10-2022 18:07:22 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.002 0.0 0.001                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -1.15 0.20 -0.18	yaw: -1.19	msg/s 0.0
INFO: 27-10-2022 18:07:23 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.005 0.001 0.001                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -7.80 -2.40 -6.68	yaw: -14.46	msg/s 0.0
INFO: 27-10-2022 18:07:24 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.002 0.0 0.001                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.96 0.76 -0.04	yaw: -12.06	msg/s 0.0
INFO: 27-10-2022 18:07:25 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.007 0.002 0.001                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -8.57 -1.09 -7.57	yaw: -14.61	msg/s 0.0
INFO: 27-10-2022 18:07:26 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.002 0.001 0.001                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.87 0.79 0.07	yaw: -11.91	msg/s 0.0
INFO: 27-10-2022 18:07:27 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.007 0.002 0.001                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -6.30 -0.54 -5.28	yaw: -13.23	msg/s 0.0
INFO: 27-10-2022 18:07:29 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.55 0.86 0.36	yaw: -12.00	msg/s 0.0
INFO: 27-10-2022 18:07:30 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.006 0.002 0.001                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -4.88 -0.19 -3.91	yaw: -13.51	msg/s 0.0
INFO: 27-10-2022 18:07:31 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.001 0.0                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -0.37 0.89 0.53	yaw: -10.04	msg/s 0.0
INFO: 27-10-2022 18:07:32 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.006 0.001 0.001                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -3.99 0.00 -3.04	yaw: -11.93	msg/s 0.0
INFO: 27-10-2022 18:07:33 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.0                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -0.38 0.89 0.52	yaw: -10.92	msg/s 0.0
INFO: 27-10-2022 18:07:34 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.005 0.001 0.001                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -3.79 0.05 -2.82	yaw: -12.30	msg/s 0.0
INFO: 27-10-2022 18:07:35 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -0.35 0.90 0.56	yaw: -10.23	msg/s 0.0
INFO: 27-10-2022 18:07:36 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.004 0.001 0.001                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -2.21 0.44 -1.26	yaw: -11.58	msg/s 0.0
INFO: 27-10-2022 18:07:37 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.007 0.002 0.001                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -10.45 -1.60 -9.43	yaw: -13.34	msg/s 0.0
INFO: 27-10-2022 18:07:38 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.003 0.001 0.001                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -1.76 0.55 -0.83	yaw: -12.20	msg/s 0.0
INFO: 27-10-2022 18:07:40 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.006 0.002 0.001                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -9.99 -1.43 -8.95	yaw: -22.78	msg/s 0.0
INFO: 27-10-2022 18:07:41 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.003 0.001 0.001                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -2.24 0.43 -1.31	yaw: -12.49	msg/s 0.0
INFO: 27-10-2022 18:07:42 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.007 0.002 0.002                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -10.24 -1.36 -9.14	yaw: -33.34	msg/s 0.0
INFO: 27-10-2022 18:07:43 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -0.76 0.80 0.16	yaw: -12.18	msg/s 0.0
INFO: 27-10-2022 18:07:44 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.006 0.002 0.001                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -5.83 -0.46 -4.85	yaw: -13.63	msg/s 0.0
INFO: 27-10-2022 18:07:45 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.54 0.85 0.37	yaw: -11.88	msg/s 0.0
INFO: 27-10-2022 18:07:46 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.004 0.001 0.001                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -4.19 -0.05 -3.26	yaw: -13.32	msg/s 0.0
INFO: 27-10-2022 18:07:47 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -0.51 0.86 0.40	yaw: -11.69	msg/s 0.0
INFO: 27-10-2022 18:07:48 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.004 0.001 0.001                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -3.84 0.04 -2.91	yaw: -13.11	msg/s 0.0
INFO: 27-10-2022 18:07:49 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -0.53 0.85 0.38	yaw: -11.86	msg/s 0.0
INFO: 27-10-2022 18:07:51 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.005 0.001 0.001                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -3.94 0.01 -2.99	yaw: -13.06	msg/s 0.0
INFO: 27-10-2022 18:07:52 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -0.44 0.88 0.47	yaw: -11.47	msg/s 0.0
INFO: 27-10-2022 18:07:53 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.004 0.001 0.001                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -3.89 0.02 -2.95	yaw: -13.15	msg/s 0.0
INFO: 27-10-2022 18:07:54 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -0.56 0.85 0.35	yaw: -11.73	msg/s 0.0
INFO: 27-10-2022 18:07:55 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.005 0.002 0.001                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -4.20 -0.06 -3.18	yaw: -13.14	msg/s 0.0
INFO: 27-10-2022 18:07:56 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -0.31 0.91 0.60	yaw: -9.79	msg/s 0.0
INFO: 27-10-2022 18:07:57 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.002 0.001 0.001                    	batterySag: 0.5	link quality: 52	flight time: 0s                    	pos -1.59 0.59 -0.66	yaw: -12.11	msg/s 0.0
INFO: 27-10-2022 18:07:58 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 0.00 -0.00 0.00	yaw: 0.00	msg/s 0.0
INFO: 27-10-2022 18:07:59 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.003 0.001 0.001                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -1.40 0.64 -0.45	yaw: -12.02	msg/s 0.0
INFO: 27-10-2022 18:08:00 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.009 0.003 0.001                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -9.80 -1.44 -8.84	yaw: -13.88	msg/s 0.0
INFO: 27-10-2022 18:08:02 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.002 0.0 0.001                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -1.25 0.68 -0.33	yaw: -11.52	msg/s 0.0
INFO: 27-10-2022 18:08:03 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.007 0.002 0.001                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -9.59 -1.39 -8.59	yaw: -14.00	msg/s 0.0
INFO: 27-10-2022 18:08:04 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.002 0.001 0.001                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -1.44 0.63 -0.52	yaw: -12.23	msg/s 0.0
INFO: 27-10-2022 18:08:05 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -0.00 -0.00 0.00	yaw: -0.00	msg/s 0.0
INFO: 27-10-2022 18:08:06 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.002 0.001 0.001                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -1.38 0.64 -0.45	yaw: -12.10	msg/s 0.0
INFO: 27-10-2022 18:08:07 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.32 0.92 0.61	yaw: -8.53	msg/s 0.0
INFO: 27-10-2022 18:08:08 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.003 0.001 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -1.66 0.58 -0.71	yaw: -12.01	msg/s 0.0
INFO: 27-10-2022 18:08:09 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.31 0.92 0.62	yaw: -8.63	msg/s 0.0
INFO: 27-10-2022 18:08:10 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.002 0.001 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -1.76 0.55 -0.84	yaw: -12.33	msg/s 0.0
INFO: 27-10-2022 18:08:11 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.30 0.92 0.62	yaw: -8.70	msg/s 0.0
INFO: 27-10-2022 18:08:13 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.003 0.001 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -1.88 0.52 -0.95	yaw: -12.45	msg/s 0.0
