INFO: 27-10-2022 19:54:02 __init__(112) -- This is drone log from Drogno_3
INFO: 27-10-2022 19:54:03 log_status(395) -- Logger started
INFO: 27-10-2022 19:54:06 log_status(399) -- Drogno_3: ready	battery: 4.2                    	kalman var: 0.006 0.006 0.001                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.03 -0.06 -0.00	yaw: 0.02	msg/s 0.9
INFO: 27-10-2022 19:54:07 log_status(399) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.033 0.033 0.002                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.16 -0.32 -0.00	yaw: 0.03	msg/s 0.0
INFO: 27-10-2022 19:54:08 log_status(399) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.096 0.096 0.003                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.45 -0.89 -0.00	yaw: 0.03	msg/s 0.0
INFO: 27-10-2022 19:54:09 log_status(399) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.175 0.175 0.004                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.81 -1.59 -0.00	yaw: 0.04	msg/s 0.0
INFO: 27-10-2022 19:54:10 log_status(399) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.306 0.306 0.006                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -1.37 -2.69 -0.01	yaw: 0.05	msg/s 0.0
INFO: 27-10-2022 19:54:11 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 0.449 0.449 0.007                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -1.97 -3.84 -0.01	yaw: 0.05	msg/s 0.0
INFO: 27-10-2022 19:54:13 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 0.663 0.663 0.008                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -2.83 -5.49 -0.02	yaw: 0.05	msg/s 0.0
INFO: 27-10-2022 19:54:14 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 0.878 0.878 0.009                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -3.66 -7.09 -0.03	yaw: 0.06	msg/s 0.0
INFO: 27-10-2022 19:54:15 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 1.184 1.184 0.01                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -4.82 -9.27 -0.04	yaw: 0.07	msg/s 0.0
INFO: 27-10-2022 19:54:16 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 1.479 1.479 0.011                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -5.89 -11.29 -0.05	yaw: 0.09	msg/s 0.0
INFO: 27-10-2022 19:54:17 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 1.89 1.89 0.012                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -7.35 -14.01 -0.07	yaw: 0.08	msg/s 0.0
INFO: 27-10-2022 19:54:18 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 2.281 2.281 0.014                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -8.69 -16.50 -0.08	yaw: 0.08	msg/s 0.0
INFO: 27-10-2022 19:54:19 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 2.805 2.805 0.015                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -10.43 -19.75 -0.10	yaw: 0.08	msg/s 0.0
INFO: 27-10-2022 19:54:20 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 3.4 3.4 0.016                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -12.36 -23.31 -0.11	yaw: 0.10	msg/s 0.0
INFO: 27-10-2022 19:54:21 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 3.951 3.951 0.017                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -14.09 -26.50 -0.13	yaw: 0.11	msg/s 0.0
INFO: 27-10-2022 19:54:22 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 4.684 4.684 0.018                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -16.33 -30.61 -0.15	yaw: 0.11	msg/s 0.0
INFO: 27-10-2022 19:54:24 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 5.348 5.348 0.019                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -18.30 -34.22 -0.16	yaw: 0.10	msg/s 0.0
INFO: 27-10-2022 19:54:25 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 6.23 6.23 0.021                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -20.86 -38.91 -0.18	yaw: 0.09	msg/s 0.0
INFO: 27-10-2022 19:54:26 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 7.02 7.02 0.022                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -23.08 -42.97 -0.20	yaw: 0.09	msg/s 0.0
INFO: 27-10-2022 19:54:27 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 8.055 8.055 0.023                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -25.94 -48.19 -0.22	yaw: 0.08	msg/s 0.0
INFO: 27-10-2022 19:54:28 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 8.984 8.984 0.024                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -28.44 -52.75 -0.25	yaw: 0.09	msg/s 0.0
INFO: 27-10-2022 19:54:29 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 10.195 10.195 0.025                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -31.59 -58.47 -0.27	yaw: 0.07	msg/s 0.0
INFO: 27-10-2022 19:54:30 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 11.273 11.273 0.027                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -34.34 -63.50 -0.29	yaw: 0.08	msg/s 0.0
INFO: 27-10-2022 19:54:31 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 12.648 12.648 0.028                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -37.81 -69.75 -0.31	yaw: 0.09	msg/s 0.0
INFO: 27-10-2022 19:54:32 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 13.883 13.883 0.029                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -40.84 -75.19 -0.33	yaw: 0.08	msg/s 0.0
INFO: 27-10-2022 19:54:33 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 15.469 15.469 0.03                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -44.62 -82.06 -0.35	yaw: 0.09	msg/s 0.0
INFO: 27-10-2022 19:54:35 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 16.875 16.875 0.031                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -47.94 -88.00 -0.37	yaw: 0.08	msg/s 0.0
INFO: 27-10-2022 19:54:36 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 18.656 18.656 0.033                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -52.06 -95.44 -0.39	yaw: 0.09	msg/s 0.0
INFO: 27-10-2022 19:54:37 log_status(399) -- Drogno_3: ready	battery: 4.2                    	kalman var: 0.001 0.001 0.0                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -0.00 -0.01 -0.00	yaw: 0.00	msg/s 0.0
