INFO: 28-10-2022 16:59:25 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 16:59:26 log_status(395) -- Logger started
INFO: 28-10-2022 16:59:32 log_status(399) -- Drogno_3: landed	battery: n.p.                    	kalman var: 0 0 0                    	batterySag: 0.5	link quality: 0	flight time: 0s                    	pos 0.00 0.00 0.00	yaw: 0.00	msg/s 0.9
INFO: 28-10-2022 16:59:33 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.01 0.01 0.001                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -0.04 -0.01 0.00	yaw: -0.00	msg/s 0.0
INFO: 28-10-2022 16:59:34 log_status(399) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.05 0.05 0.002                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -0.19 -0.05 0.00	yaw: -0.01	msg/s 0.0
INFO: 28-10-2022 16:59:35 log_status(399) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.109 0.109 0.003                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -0.41 -0.12 0.00	yaw: -0.02	msg/s 0.0
INFO: 28-10-2022 16:59:36 log_status(399) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.214 0.214 0.005                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -0.76 -0.22 0.00	yaw: -0.05	msg/s 0.0
INFO: 28-10-2022 16:59:37 log_status(399) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.332 0.332 0.006                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -1.14 -0.34 0.00	yaw: -0.06	msg/s 0.0
INFO: 28-10-2022 16:59:38 log_status(399) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.514 0.514 0.007                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -1.69 -0.51 -0.00	yaw: -0.07	msg/s 0.0
INFO: 28-10-2022 16:59:39 log_status(399) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.702 0.702 0.008                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -2.24 -0.68 -0.01	yaw: -0.07	msg/s 0.0
INFO: 28-10-2022 16:59:40 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.973 0.973 0.009                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -2.98 -0.93 -0.02	yaw: -0.07	msg/s 0.0
INFO: 28-10-2022 16:59:41 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.238 1.238 0.01                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -3.68 -1.16 -0.03	yaw: -0.08	msg/s 0.0
INFO: 28-10-2022 16:59:43 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.609 1.609 0.012                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -4.61 -1.48 -0.04	yaw: -0.08	msg/s 0.0
INFO: 28-10-2022 16:59:44 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.961 1.961 0.013                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -5.46 -1.77 -0.06	yaw: -0.08	msg/s 0.0
INFO: 28-10-2022 16:59:45 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.443 2.443 0.014                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -6.58 -2.16 -0.08	yaw: -0.08	msg/s 0.0
INFO: 28-10-2022 16:59:46 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.895 2.895 0.015                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -7.60 -2.52 -0.10	yaw: -0.09	msg/s 0.0
INFO: 28-10-2022 16:59:47 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.502 3.502 0.016                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -8.93 -3.00 -0.13	yaw: -0.09	msg/s 0.0
