INFO: 28-10-2022 19:54:41 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 19:54:44 log_status(183) -- Logger started
INFO: 28-10-2022 19:54:45 log_status(187) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.01 0.01 0.001                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -0.03 -0.02 0.00	yaw: 0.01	msg/s 0.9
INFO: 28-10-2022 19:54:46 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.041 0.041 0.002                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -0.14 -0.09 0.01	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 19:54:47 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.109 0.109 0.003                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -0.36 -0.24 0.02	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:54:48 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.214 0.214 0.005                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -0.69 -0.46 0.04	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:54:49 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.332 0.332 0.006                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -1.04 -0.72 0.07	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:54:50 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.514 0.514 0.007                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -1.57 -1.10 0.10	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:54:51 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.701 0.701 0.008                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -2.08 -1.49 0.13	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 19:54:52 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.971 0.971 0.009                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -2.79 -2.04 0.17	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:54:54 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.237 1.237 0.01                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -3.47 -2.57 0.21	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 19:54:55 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.604 1.604 0.012                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -4.37 -3.28 0.27	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:54:56 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.962 1.962 0.013                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -5.21 -3.96 0.31	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:54:57 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.441 2.441 0.014                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -6.28 -4.86 0.37	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:54:58 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.893 2.893 0.015                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -7.27 -5.68 0.42	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 19:54:59 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.498 3.498 0.016                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -8.55 -6.77 0.48	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:55:00 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.059 4.059 0.017                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -9.70 -7.75 0.54	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 19:55:01 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.801 4.801 0.019                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -11.19 -9.03 0.61	yaw: -0.00	msg/s 0.0
INFO: 28-10-2022 19:55:02 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.48 5.48 0.02                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -12.50 -10.18 0.67	yaw: -0.01	msg/s 0.0
INFO: 28-10-2022 19:55:03 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.363 6.363 0.021                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -14.16 -11.65 0.74	yaw: -0.01	msg/s 0.0
INFO: 28-10-2022 19:55:05 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 7.168 7.168 0.022                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -15.64 -12.97 0.80	yaw: -0.00	msg/s 0.0
INFO: 28-10-2022 19:55:06 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.211 8.211 0.024                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -17.52 -14.66 0.88	yaw: 0.00	msg/s 0.0
