INFO: 28-10-2022 20:01:24 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 20:01:27 log_status(183) -- Logger started
INFO: 28-10-2022 20:01:28 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.01 0.01 0.001                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.01 -0.10 -0.00	yaw: -0.02	msg/s 0.9
INFO: 28-10-2022 20:01:29 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.041 0.041 0.002                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.02 -0.42 -0.02	yaw: -0.02	msg/s 0.0
INFO: 28-10-2022 20:01:30 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.11 0.11 0.003                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.06 -1.09 -0.04	yaw: -0.02	msg/s 0.0
INFO: 28-10-2022 20:01:31 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.215 0.215 0.005                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.12 -2.06 -0.08	yaw: -0.02	msg/s 0.0
INFO: 28-10-2022 20:01:32 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.333 0.333 0.006                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.18 -3.10 -0.13	yaw: -0.01	msg/s 0.0
INFO: 28-10-2022 20:01:33 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.515 0.515 0.007                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.28 -4.64 -0.20	yaw: -0.02	msg/s 0.0
INFO: 28-10-2022 20:01:34 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.703 0.703 0.008                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.39 -6.16 -0.27	yaw: -0.02	msg/s 0.0
INFO: 28-10-2022 20:01:35 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.974 0.974 0.009                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.56 -8.25 -0.36	yaw: -0.02	msg/s 0.0
INFO: 28-10-2022 20:01:37 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.237 1.237 0.01                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.72 -10.22 -0.45	yaw: -0.01	msg/s 0.0
INFO: 28-10-2022 20:01:38 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.608 1.608 0.012                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.94 -12.87 -0.58	yaw: -0.02	msg/s 0.0
INFO: 28-10-2022 20:01:39 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.963 1.963 0.013                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.16 -15.32 -0.70	yaw: -0.03	msg/s 0.0
INFO: 28-10-2022 20:01:40 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.447 2.447 0.014                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.46 -18.53 -0.85	yaw: -0.03	msg/s 0.0
INFO: 28-10-2022 20:01:41 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.902 2.902 0.015                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.73 -21.45 -1.00	yaw: -0.03	msg/s 0.0
INFO: 28-10-2022 20:01:42 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.504 3.504 0.016                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 2.07 -25.22 -1.18	yaw: -0.01	msg/s 0.0
INFO: 28-10-2022 20:01:43 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.066 4.066 0.017                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 2.39 -28.59 -1.35	yaw: -0.01	msg/s 0.0
INFO: 28-10-2022 20:01:44 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.809 4.809 0.019                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 2.81 -32.94 -1.57	yaw: -0.02	msg/s 0.0
INFO: 28-10-2022 20:01:45 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.488 5.488 0.02                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 3.19 -36.78 -1.77	yaw: -0.03	msg/s 0.0
INFO: 28-10-2022 20:01:46 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.379 6.379 0.021                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 3.68 -41.69 -2.03	yaw: -0.03	msg/s 0.0
INFO: 28-10-2022 20:01:48 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 7.188 7.188 0.022                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 4.11 -46.00 -2.25	yaw: -0.02	msg/s 0.0
INFO: 28-10-2022 20:01:49 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.227 8.227 0.023                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 4.65 -51.41 -2.54	yaw: -0.02	msg/s 0.0
INFO: 28-10-2022 20:01:50 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 9.172 9.172 0.024                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 5.14 -56.19 -2.79	yaw: -0.03	msg/s 0.0
INFO: 28-10-2022 20:01:51 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 10.398 10.398 0.026                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 5.75 -62.19 -3.12	yaw: -0.03	msg/s 0.0
INFO: 28-10-2022 20:01:52 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 11.484 11.484 0.027                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 6.27 -67.44 -3.40	yaw: -0.03	msg/s 0.0
INFO: 28-10-2022 20:01:53 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 12.891 12.891 0.028                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 6.93 -74.00 -3.76	yaw: -0.03	msg/s 0.0
INFO: 28-10-2022 20:01:54 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 14.125 14.125 0.029                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 7.49 -79.62 -4.08	yaw: -0.04	msg/s 0.0
INFO: 28-10-2022 20:01:55 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 15.727 15.727 0.03                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 8.20 -86.69 -4.48	yaw: -0.05	msg/s 0.0
INFO: 28-10-2022 20:01:56 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 17.141 17.141 0.031                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 8.80 -92.88 -4.82	yaw: -0.05	msg/s 0.0
INFO: 28-10-2022 20:01:57 log_status(187) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.00 -0.00 0.00	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 20:01:59 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.012 0.012 0.001                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.01 -0.13 -0.01	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:02:00 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.055 0.055 0.003                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.03 -0.55 -0.03	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:02:01 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.117 0.117 0.004                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.07 -1.14 -0.07	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 20:02:02 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.225 0.225 0.005                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.13 -2.12 -0.14	yaw: -0.00	msg/s 0.0
INFO: 28-10-2022 20:02:03 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.346 0.346 0.006                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.20 -3.17 -0.20	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:02:04 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.532 0.532 0.007                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.30 -4.71 -0.31	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 20:02:05 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.723 0.723 0.008                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.39 -6.24 -0.41	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:02:06 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.999 0.999 0.009                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.53 -8.35 -0.55	yaw: 0.00	msg/s 0.0
