INFO: 28-10-2022 20:28:42 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 20:28:45 log_status(183) -- Logger started
INFO: 28-10-2022 20:28:46 log_status(187) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.01 0.01 0.001                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.00 -0.10 0.00	yaw: 0.00	msg/s 0.9
INFO: 28-10-2022 20:28:47 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.041 0.041 0.002                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.02 -0.40 0.01	yaw: -0.00	msg/s 0.0
INFO: 28-10-2022 20:28:48 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.109 0.109 0.003                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.04 -1.04 0.02	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:28:49 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.214 0.214 0.005                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.08 -1.99 0.03	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:28:50 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.333 0.333 0.006                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.11 -3.00 0.04	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 20:28:51 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.515 0.515 0.007                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.16 -4.49 0.06	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:28:52 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.701 0.701 0.008                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.21 -5.94 0.08	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:28:53 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.971 0.971 0.009                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.28 -7.98 0.10	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 20:28:54 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.237 1.237 0.01                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.34 -9.90 0.12	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:28:56 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.608 1.608 0.012                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.42 -12.49 0.14	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 20:28:57 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.963 1.963 0.013                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.49 -14.87 0.16	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 20:28:58 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.445 2.445 0.014                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.57 -18.00 0.18	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:28:59 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.898 2.898 0.015                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.65 -20.83 0.19	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 20:29:00 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.5 3.5 0.016                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.73 -24.48 0.21	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 20:29:01 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.062 4.062 0.017                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.80 -27.78 0.23	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 20:29:02 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.805 4.805 0.019                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.88 -32.03 0.25	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 20:29:03 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.484 5.484 0.02                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.94 -35.78 0.27	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 20:29:04 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.375 6.375 0.021                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.02 -40.59 0.30	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:29:05 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 7.176 7.176 0.022                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.09 -44.78 0.31	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 20:29:07 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.227 8.227 0.023                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.16 -50.12 0.33	yaw: 0.03	msg/s 0.0
