INFO: 28-10-2022 21:55:48 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 21:55:51 log_status(190) -- Logger started
INFO: 28-10-2022 21:55:52 log_status(194) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.01 0.01 0.001                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.01 -0.10 -0.00	yaw: -0.00	msg/s 0.9
INFO: 28-10-2022 21:55:53 log_status(194) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.041 0.041 0.002                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.04 -0.42 -0.01	yaw: -0.01	msg/s 0.0
INFO: 28-10-2022 21:55:54 log_status(194) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.109 0.109 0.003                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.11 -1.09 -0.02	yaw: -0.02	msg/s 0.0
INFO: 28-10-2022 21:55:55 log_status(194) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.215 0.215 0.005                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.19 -2.07 -0.03	yaw: -0.03	msg/s 0.0
INFO: 28-10-2022 21:55:56 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.333 0.333 0.006                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.27 -3.12 -0.05	yaw: -0.02	msg/s 0.0
INFO: 28-10-2022 21:55:57 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.515 0.515 0.007                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.38 -4.66 -0.07	yaw: -0.03	msg/s 0.0
INFO: 28-10-2022 21:55:58 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.703 0.703 0.008                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.48 -6.18 -0.09	yaw: -0.05	msg/s 0.0
INFO: 28-10-2022 21:56:00 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.974 0.974 0.009                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.61 -8.28 -0.11	yaw: -0.06	msg/s 0.0
INFO: 28-10-2022 21:56:01 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.241 1.241 0.01                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.72 -10.27 -0.13	yaw: -0.05	msg/s 0.0
INFO: 28-10-2022 21:56:02 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.613 1.613 0.012                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.86 -12.95 -0.15	yaw: -0.06	msg/s 0.0
INFO: 28-10-2022 21:56:03 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.969 1.969 0.013                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.98 -15.41 -0.18	yaw: -0.07	msg/s 0.0
INFO: 28-10-2022 21:56:04 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.451 2.451 0.014                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.13 -18.62 -0.21	yaw: -0.09	msg/s 0.0
INFO: 28-10-2022 21:56:05 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.906 2.906 0.015                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.27 -21.56 -0.24	yaw: -0.09	msg/s 0.0
INFO: 28-10-2022 21:56:06 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.514 3.516 0.016                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.43 -25.38 -0.28	yaw: -0.10	msg/s 0.0
INFO: 28-10-2022 21:56:07 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.078 4.078 0.018                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.56 -28.78 -0.31	yaw: -0.09	msg/s 0.0
