INFO: 28-10-2022 22:02:29 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 22:02:32 log_status(191) -- Logger started
INFO: 28-10-2022 22:02:33 log_status(195) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.01 0.01 0.001                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.01 -0.10 -0.00	yaw: 0.01	msg/s 0.9
INFO: 28-10-2022 22:02:34 log_status(195) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.041 0.041 0.002                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.05 -0.43 -0.01	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 22:02:35 log_status(195) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.109 0.109 0.003                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.13 -1.12 -0.02	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 22:02:36 log_status(195) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.215 0.215 0.005                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.26 -2.12 -0.03	yaw: 0.04	msg/s 0.0
INFO: 28-10-2022 22:02:38 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.333 0.333 0.006                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.40 -3.21 -0.05	yaw: 0.06	msg/s 0.0
INFO: 28-10-2022 22:02:39 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.516 0.516 0.007                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.63 -4.80 -0.08	yaw: 0.06	msg/s 0.0
INFO: 28-10-2022 22:02:40 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.701 0.701 0.008                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.86 -6.36 -0.10	yaw: 0.05	msg/s 0.0
INFO: 28-10-2022 22:02:41 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.972 0.972 0.009                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.20 -8.55 -0.13	yaw: 0.06	msg/s 0.0
INFO: 28-10-2022 22:02:42 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.239 1.239 0.01                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.53 -10.61 -0.16	yaw: 0.06	msg/s 0.0
INFO: 28-10-2022 22:02:43 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.611 1.611 0.012                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.98 -13.38 -0.19	yaw: 0.07	msg/s 0.0
INFO: 28-10-2022 22:02:44 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.967 1.967 0.013                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 2.41 -15.95 -0.23	yaw: 0.08	msg/s 0.0
INFO: 28-10-2022 22:02:45 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.451 2.451 0.014                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 2.99 -19.31 -0.27	yaw: 0.08	msg/s 0.0
INFO: 28-10-2022 22:02:46 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.906 2.906 0.015                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 3.52 -22.36 -0.31	yaw: 0.08	msg/s 0.0
INFO: 28-10-2022 22:02:47 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.514 3.514 0.016                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 4.22 -26.33 -0.35	yaw: 0.09	msg/s 0.0
INFO: 28-10-2022 22:02:49 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.078 4.078 0.018                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 4.86 -29.89 -0.39	yaw: 0.11	msg/s 0.0
INFO: 28-10-2022 22:02:50 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.816 4.816 0.019                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 5.69 -34.44 -0.43	yaw: 0.11	msg/s 0.0
INFO: 28-10-2022 22:02:51 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.5 5.5 0.02                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 6.45 -38.50 -0.48	yaw: 0.11	msg/s 0.0
INFO: 28-10-2022 22:02:52 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.391 6.395 0.021                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 7.43 -43.69 -0.53	yaw: 0.12	msg/s 0.0
INFO: 28-10-2022 22:02:53 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 7.203 7.203 0.022                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 8.30 -48.25 -0.58	yaw: 0.12	msg/s 0.0
INFO: 28-10-2022 22:02:54 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.258 8.258 0.024                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 9.41 -54.03 -0.64	yaw: 0.12	msg/s 0.0
INFO: 28-10-2022 22:02:55 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 9.203 9.203 0.025                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 10.40 -59.12 -0.70	yaw: 0.12	msg/s 0.0
INFO: 28-10-2022 22:02:56 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 10.43 10.43 0.026                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 11.65 -65.50 -0.77	yaw: 0.13	msg/s 0.0
INFO: 28-10-2022 22:02:57 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 11.523 11.523 0.027                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 12.75 -71.12 -0.82	yaw: 0.13	msg/s 0.0
INFO: 28-10-2022 22:02:58 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 12.93 12.938 0.029                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 14.14 -78.12 -0.90	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 22:03:00 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 14.188 14.188 0.03                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 15.36 -84.25 -0.96	yaw: 0.13	msg/s 0.0
INFO: 28-10-2022 22:03:01 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 15.789 15.789 0.031                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 16.89 -91.88 -1.04	yaw: 0.13	msg/s 0.0
INFO: 28-10-2022 22:03:02 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 17.219 17.219 0.033                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 18.23 -98.50 -1.10	yaw: 0.13	msg/s 0.0
INFO: 28-10-2022 22:03:03 log_status(195) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.01 0.01 0.001                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.01 -0.10 -0.00	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 22:03:04 log_status(195) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.04 0.04 0.002                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.05 -0.41 -0.01	yaw: 0.04	msg/s 0.0
INFO: 28-10-2022 22:03:05 log_status(195) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.108 0.108 0.003                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.13 -1.07 -0.02	yaw: 0.05	msg/s 0.0
INFO: 28-10-2022 22:03:06 log_status(195) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.192 0.192 0.005                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.24 -1.87 -0.03	yaw: 0.05	msg/s 0.0
INFO: 28-10-2022 22:03:07 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.331 0.331 0.006                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.41 -3.11 -0.05	yaw: 0.07	msg/s 0.0
INFO: 28-10-2022 22:03:08 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.479 0.479 0.007                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.59 -4.39 -0.08	yaw: 0.08	msg/s 0.0
INFO: 28-10-2022 22:03:09 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.7 0.7 0.008                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.84 -6.22 -0.11	yaw: 0.09	msg/s 0.0
INFO: 28-10-2022 22:03:11 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.922 0.922 0.009                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.10 -7.99 -0.15	yaw: 0.08	msg/s 0.0
INFO: 28-10-2022 22:03:12 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.237 1.237 0.01                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.46 -10.41 -0.20	yaw: 0.09	msg/s 0.0
INFO: 28-10-2022 22:03:13 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.543 1.543 0.011                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.80 -12.68 -0.24	yaw: 0.09	msg/s 0.0
INFO: 28-10-2022 22:03:14 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.964 1.964 0.013                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 2.27 -15.70 -0.30	yaw: 0.09	msg/s 0.0
INFO: 28-10-2022 22:03:15 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.363 2.363 0.014                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 2.71 -18.47 -0.35	yaw: 0.10	msg/s 0.0
INFO: 28-10-2022 22:03:16 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.902 2.902 0.015                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 3.29 -22.09 -0.42	yaw: 0.11	msg/s 0.0
INFO: 28-10-2022 22:03:17 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.4 3.4 0.016                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 3.82 -25.33 -0.48	yaw: 0.11	msg/s 0.0
INFO: 28-10-2022 22:03:18 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.07 4.07 0.018                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 4.52 -29.56 -0.56	yaw: 0.11	msg/s 0.0
INFO: 28-10-2022 22:03:19 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.688 4.688 0.019                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 5.16 -33.34 -0.63	yaw: 0.11	msg/s 0.0
INFO: 28-10-2022 22:03:20 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.496 5.496 0.02                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 5.98 -38.19 -0.73	yaw: 0.13	msg/s 0.0
INFO: 28-10-2022 22:03:22 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.234 6.234 0.021                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 6.73 -42.47 -0.81	yaw: 0.14	msg/s 0.0
