INFO: 18-11-2022 18:28:14 __init__(113) -- This is drone log from Drogno_3
INFO: 18-11-2022 18:28:17 log_status(190) -- Logger started
INFO: 18-11-2022 18:28:18 log_status(194) -- Drogno_3: ready	battery: 4.2                    	kalman var: 0.01 0.01 0.001                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 0.05 0.01 -0.00	yaw: 0.00	msg/s 0.9
INFO: 18-11-2022 18:28:19 log_status(194) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.041 0.041 0.002                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 0.22 0.05 -0.00	yaw: -0.00	msg/s 0.0
INFO: 18-11-2022 18:28:20 log_status(194) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.109 0.109 0.003                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 0.55 0.13 -0.00	yaw: -0.00	msg/s 0.0
INFO: 18-11-2022 18:28:21 log_status(194) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.194 0.194 0.004                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 0.96 0.22 -0.00	yaw: 0.00	msg/s 0.0
INFO: 18-11-2022 18:28:22 log_status(194) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.332 0.332 0.006                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.60 0.37 -0.01	yaw: 0.00	msg/s 0.0
INFO: 18-11-2022 18:28:23 log_status(194) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.515 0.515 0.007                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 2.42 0.56 -0.01	yaw: 0.00	msg/s 0.0
INFO: 18-11-2022 18:28:24 log_status(194) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 0.702 0.702 0.008                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 3.23 0.76 -0.01	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 18:28:25 log_status(194) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 0.974 0.974 0.009                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 4.36 1.05 -0.01	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 18:28:27 log_status(194) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 1.24 1.24 0.01                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 5.41 1.32 -0.02	yaw: 0.03	msg/s 0.0
INFO: 18-11-2022 18:28:28 log_status(194) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 1.611 1.611 0.012                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 6.84 1.69 -0.02	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 18:28:29 log_status(194) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 1.964 1.964 0.013                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 8.14 2.03 -0.03	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 18:28:30 log_status(194) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 2.447 2.447 0.014                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 9.87 2.48 -0.03	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 18:28:31 log_status(194) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 2.902 2.902 0.015                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 11.42 2.88 -0.04	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 18:28:32 log_status(194) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 3.51 3.51 0.016                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 13.43 3.41 -0.06	yaw: 0.00	msg/s 0.0
INFO: 18-11-2022 18:28:33 log_status(194) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 4.07 4.07 0.017                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos 15.23 3.89 -0.07	yaw: 0.00	msg/s 0.0
INFO: 18-11-2022 18:28:34 log_status(194) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 4.816 4.816 0.019                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos 17.53 4.50 -0.09	yaw: 0.00	msg/s 0.0
