INFO: 18-11-2022 19:45:11 __init__(113) -- This is drone log from Drogno_3
INFO: 18-11-2022 19:45:14 log_status(190) -- Logger started
INFO: 18-11-2022 19:45:15 log_status(194) -- Drogno_3: ready	battery: 4.2                    	kalman var: 0.01 0.01 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 0.03 0.01 -0.00	yaw: -0.01	msg/s 0.9
INFO: 18-11-2022 19:45:16 log_status(194) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.041 0.041 0.002                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 0.14 0.03 -0.01	yaw: -0.01	msg/s 0.0
INFO: 18-11-2022 19:45:18 log_status(194) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.109 0.109 0.003                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 0.35 0.08 -0.01	yaw: -0.01	msg/s 0.0
INFO: 18-11-2022 19:45:19 log_status(194) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.214 0.214 0.005                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 0.65 0.16 -0.02	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 19:45:20 log_status(194) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.332 0.332 0.006                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 0.98 0.24 -0.03	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 19:45:21 log_status(194) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.514 0.514 0.007                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.48 0.38 -0.05	yaw: -0.03	msg/s 0.0
INFO: 18-11-2022 19:45:22 log_status(194) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.701 0.701 0.008                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.97 0.51 -0.06	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 19:45:23 log_status(194) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 0.973 0.973 0.009                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 2.64 0.70 -0.08	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 19:45:24 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.238 1.238 0.01                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 3.28 0.88 -0.10	yaw: -0.01	msg/s 0.0
INFO: 18-11-2022 19:45:25 log_status(194) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 1.607 1.607 0.012                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos 4.14 1.12 -0.12	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 19:45:26 log_status(194) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 1.962 1.962 0.013                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 4.95 1.35 -0.14	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 19:45:27 log_status(194) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 2.445 2.445 0.014                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 6.02 1.65 -0.17	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 19:45:29 log_status(194) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 2.898 2.898 0.015                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos 7.00 1.92 -0.20	yaw: -0.01	msg/s 0.0
WARNING: 18-11-2022 19:48:16 exit(707) -- closing Drogno_3
