INFO: 18-11-2022 19:48:32 __init__(113) -- This is drone log from Drogno_3
INFO: 18-11-2022 19:48:35 log_status(192) -- Logger started
INFO: 18-11-2022 19:48:37 log_status(196) -- Drogno_3: ready	battery: 4.2                    	kalman var: 0.01 0.01 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 0.03 0.01 0.00	yaw: 0.00	msg/s 0.9
INFO: 18-11-2022 19:48:38 log_status(196) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.041 0.041 0.002                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 0.14 0.03 0.00	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 19:48:39 log_status(196) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.109 0.109 0.003                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 0.35 0.07 0.00	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 19:48:40 log_status(196) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.214 0.214 0.005                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 0.67 0.14 0.00	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 19:48:41 log_status(196) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.332 0.332 0.006                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.03 0.21 0.01	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 19:48:42 log_status(196) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.515 0.515 0.007                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.57 0.33 0.02	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 19:48:43 log_status(196) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.702 0.702 0.008                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 2.12 0.45 0.03	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 19:48:44 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.973 0.973 0.009                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 2.88 0.62 0.04	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 19:48:45 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.24 1.24 0.01                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 3.62 0.77 0.05	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 19:48:46 log_status(196) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 1.611 1.611 0.012                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 4.63 0.98 0.07	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 19:48:48 log_status(196) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 1.963 1.963 0.013                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 5.57 1.17 0.10	yaw: 0.02	msg/s 0.0
