INFO: 18-11-2022 20:12:20 __init__(113) -- This is drone log from Drogno_3
INFO: 18-11-2022 20:12:23 log_status(196) -- Logger started
INFO: 18-11-2022 20:12:24 log_status(200) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.01 0.01 0.001                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -0.03 -0.03 0.00	yaw: -0.01	msg/s 0.9
INFO: 18-11-2022 20:12:25 log_status(200) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.041 0.041 0.002                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -0.11 -0.12 0.00	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 20:12:26 log_status(200) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.11 0.11 0.003                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.28 -0.31 0.01	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 20:12:27 log_status(200) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.215 0.215 0.005                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -0.53 -0.60 0.02	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 20:12:28 log_status(200) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.333 0.333 0.006                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -0.81 -0.91 0.03	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 20:12:29 log_status(200) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.514 0.514 0.007                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -1.20 -1.37 0.04	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 20:12:30 log_status(200) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.702 0.702 0.008                    	batterySag: 0.5	link quality: 41	flight time: 0s                    	pos -1.59 -1.84 0.05	yaw: -0.04	msg/s 0.0
INFO: 18-11-2022 20:12:31 log_status(200) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.973 0.973 0.009                    	batterySag: 0.5	link quality: 40	flight time: 0s                    	pos -2.13 -2.50 0.06	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 20:12:32 log_status(200) -- Drogno_3: out of BOX	battery: 4.18                    	kalman var: 1.239 1.239 0.01                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -2.65 -3.13 0.07	yaw: -0.03	msg/s 0.0
INFO: 18-11-2022 20:12:34 log_status(200) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.611 1.611 0.012                    	batterySag: 0.5	link quality: 41	flight time: 0s                    	pos -3.34 -3.98 0.09	yaw: -5.97	msg/s 0.0
INFO: 18-11-2022 20:12:35 log_status(200) -- Drogno_3: ready	battery: 4.19                    	kalman var: 1.962 1.955 0.029                    	batterySag: 0.5	link quality: 41	flight time: 0s                    	pos -3.97 -4.77 0.11	yaw: -1.30	msg/s 0.0
INFO: 18-11-2022 20:12:36 log_status(200) -- Drogno_3: ready	battery: 4.19                    	kalman var: 2.453 2.451 0.014                    	batterySag: 0.5	link quality: 41	flight time: 0s                    	pos -4.81 -5.81 0.11	yaw: -1.93	msg/s 0.0
INFO: 18-11-2022 20:12:37 log_status(200) -- Drogno_3: ready	battery: 4.19                    	kalman var: 2.906 2.906 0.015                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -5.65 -6.83 0.12	yaw: -1.77	msg/s 0.0
INFO: 18-11-2022 20:12:38 log_status(200) -- Drogno_3: ready	battery: 4.19                    	kalman var: 3.51 3.51 0.016                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -6.84 -8.23 0.12	yaw: -1.58	msg/s 0.0
INFO: 18-11-2022 20:12:39 log_status(200) -- Drogno_3: ready	battery: 4.19                    	kalman var: 4.07 4.07 0.018                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -7.99 -9.57 0.12	yaw: -1.43	msg/s 0.0
INFO: 18-11-2022 20:12:40 log_status(200) -- Drogno_3: ready	battery: 4.1                    	kalman var: 4.844 4.844 0.019                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -9.49 -11.32 0.12	yaw: -1.70	msg/s 0.0
INFO: 18-11-2022 20:12:41 log_status(200) -- Drogno_3: ready	battery: 4.1                    	kalman var: 5.527 5.527 0.02                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -10.92 -12.91 0.13	yaw: -1.54	msg/s 0.0
INFO: 18-11-2022 20:12:42 log_status(200) -- Drogno_3: ready	battery: 4.09                    	kalman var: 6.422 6.422 0.022                    	batterySag: 0.5	link quality: 41	flight time: 0s                    	pos -12.80 -14.99 0.15	yaw: -1.37	msg/s 0.0
INFO: 18-11-2022 20:12:43 log_status(200) -- Drogno_3: ready	battery: 4.09                    	kalman var: 7.23 7.121 0.155                    	batterySag: 0.5	link quality: 40	flight time: 0s                    	pos -14.48 -16.86 0.17	yaw: -2.94	msg/s 0.0
INFO: 18-11-2022 20:12:45 log_status(200) -- Drogno_3: ready	battery: 4.09                    	kalman var: 7.887 8.375 0.633                    	batterySag: 0.5	link quality: 35	flight time: 0s                    	pos -16.75 -19.39 0.21	yaw: -23.94	msg/s 0.0
INFO: 18-11-2022 20:12:46 log_status(200) -- Drogno_3: ready	battery: 4.09                    	kalman var: 9.211 9.133 0.599                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos -18.86 -21.89 0.12	yaw: -24.48	msg/s 0.0
INFO: 18-11-2022 20:12:47 log_status(200) -- Drogno_3: ready	battery: 3.28                    	kalman var: 10.102 10.445 0.854                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos -21.12 -25.12 -0.31	yaw: -22.25	msg/s 0.0
INFO: 18-11-2022 20:12:48 log_status(200) -- Drogno_3: ready	battery: 3.27                    	kalman var: 11.375 11.32 0.875                    	batterySag: 0.5	link quality: 36	flight time: 1s                    	pos -20.95 -27.31 -1.37	yaw: -23.94	msg/s 0.0
INFO: 18-11-2022 20:12:49 log_status(200) -- Drogno_3: ready	battery: 3.27                    	kalman var: 11.68 11.531 0.812                    	batterySag: 0.5	link quality: 37	flight time: 2s                    	pos -18.38 -18.38 -18.38	yaw: -28.03	msg/s 0.0
INFO: 18-11-2022 20:12:50 log_status(200) -- Drogno_3: ready	battery: 3.3                    	kalman var: 11.68 11.531 0.812                    	batterySag: 0.5	link quality: 37	flight time: 3s                    	pos -14.08 -14.08 -14.08	yaw: -28.72	msg/s 0.0
INFO: 18-11-2022 20:12:51 log_status(200) -- Drogno_3: ready	battery: 3.28                    	kalman var: 11.68 11.531 0.812                    	batterySag: 0.5	link quality: 36	flight time: 5s                    	pos -7.68 -7.68 -7.68	yaw: -29.12	msg/s 0.0
INFO: 18-11-2022 20:12:52 log_status(200) -- Drogno_3: ready	battery: 3.28                    	kalman var: 11.68 11.531 0.812                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.86 0.86 0.86	yaw: -29.31	msg/s 0.0
INFO: 18-11-2022 20:12:53 log_status(200) -- Drogno_3: ready	battery: 3.12                    	kalman var: 11.68 11.531 0.812                    	batterySag: 0.5	link quality: 36	flight time: 1s                    	pos 11.81 11.81 11.81	yaw: -30.47	msg/s 0.0
INFO: 18-11-2022 20:12:54 log_status(200) -- Drogno_3: ready	battery: 3.12                    	kalman var: 11.68 11.531 0.812                    	batterySag: 0.5	link quality: 37	flight time: 2s                    	pos 0.00 0.00 0.00	yaw: 0.20	msg/s 0.0
INFO: 18-11-2022 20:12:56 log_status(200) -- Drogno_3: ready	battery: 3.16                    	kalman var: 11.68 11.531 0.812                    	batterySag: 0.5	link quality: 36	flight time: 3s                    	pos 0.15 0.15 0.15	yaw: 1.81	msg/s 0.0
INFO: 18-11-2022 20:12:57 log_status(200) -- Drogno_3: ready	battery: 3.14                    	kalman var: 11.68 11.531 0.812                    	batterySag: 0.5	link quality: 36	flight time: 5s                    	pos 0.92 0.92 0.92	yaw: 1.62	msg/s 0.0
INFO: 18-11-2022 20:12:58 log_status(200) -- Drogno_3: landed	battery: 3.22                    	kalman var: 11.68 11.531 0.812                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 2.04 2.04 2.04	yaw: 1.78	msg/s 0.0
INFO: 18-11-2022 20:12:59 log_status(200) -- Drogno_3: ready	battery: 3.93                    	kalman var: 0.232 0.235 0.021                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 3.08 3.64 -4.08	yaw: -5.53	msg/s 0.0
INFO: 18-11-2022 20:13:00 log_status(200) -- Drogno_3: ready	battery: 3.95                    	kalman var: 0.347 0.308 0.084                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 2.44 2.51 -5.89	yaw: -13.05	msg/s 0.0
INFO: 18-11-2022 20:13:01 log_status(200) -- Drogno_3: ready	battery: 3.96                    	kalman var: 0.541 0.413 0.167                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos -0.18 -1.47 -8.59	yaw: -12.20	msg/s 0.0
INFO: 18-11-2022 20:13:02 log_status(200) -- Drogno_3: ready	battery: 3.97                    	kalman var: 0.73 0.374 0.407                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos -4.08 -7.40 -11.63	yaw: 1.19	msg/s 0.0
INFO: 18-11-2022 20:13:03 log_status(200) -- Drogno_3: ready	battery: 3.98                    	kalman var: 1.021 0.456 0.587                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -11.14 -18.03 -16.75	yaw: 12.82	msg/s 0.0
INFO: 18-11-2022 20:13:04 log_status(200) -- Drogno_3: ready	battery: 3.98                    	kalman var: 0.005 0.005 0.001                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos -0.33 -1.79 -0.85	yaw: -25.73	msg/s 0.0
INFO: 18-11-2022 20:13:06 log_status(200) -- Drogno_3: ready	battery: 4.0                    	kalman var: 0.003 0.002 0.001                    	batterySag: 0.5	link quality: 63	flight time: 0s                    	pos 0.64 -0.79 -0.44	yaw: 76.69	msg/s 0.0
INFO: 18-11-2022 20:13:07 log_status(200) -- Drogno_3: ready	battery: 4.0                    	kalman var: 0.016 0.016 0.012                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 4.84 -7.42 -4.12	yaw: 110.69	msg/s 0.0
INFO: 18-11-2022 20:13:08 log_status(200) -- Drogno_3: ready	battery: 4.0                    	kalman var: 0.004 0.005 0.003                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -2.73 0.01 -2.21	yaw: -45.62	msg/s 0.0
INFO: 18-11-2022 20:13:09 log_status(200) -- Drogno_3: ready	battery: 4.01                    	kalman var: 0.003 0.003 0.002                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.60 -1.02 -0.50	yaw: 2.04	msg/s 0.0
INFO: 18-11-2022 20:13:10 log_status(200) -- Drogno_3: ready	battery: 4.01                    	kalman var: 0.028 0.024 0.017                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -5.52 -9.31 -4.02	yaw: -0.44	msg/s 0.0
INFO: 18-11-2022 20:13:11 log_status(200) -- Drogno_3: ready	battery: 4.01                    	kalman var: 0.008 0.008 0.001                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -0.03 -0.03 0.00	yaw: -0.01	msg/s 0.0
INFO: 18-11-2022 20:13:12 log_status(200) -- Drogno_3: ready	battery: 4.01                    	kalman var: 0.046 0.046 0.002                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.14 -0.17 0.02	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 20:13:13 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 0.103 0.103 0.003                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.30 -0.38 0.04	yaw: -0.01	msg/s 0.0
INFO: 18-11-2022 20:13:14 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 0.205 0.205 0.005                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.58 -0.75 0.07	yaw: 0.00	msg/s 0.0
INFO: 18-11-2022 20:13:15 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 0.322 0.322 0.006                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -0.89 -1.17 0.11	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 20:13:17 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 0.5 0.5 0.007                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -1.35 -1.79 0.16	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 20:13:18 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 0.683 0.683 0.008                    	batterySag: 0.5	link quality: 40	flight time: 0s                    	pos -1.80 -2.40 0.21	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 20:13:19 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 0.951 0.951 0.009                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -2.45 -3.29 0.29	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 20:13:20 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 1.214 1.214 0.01                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -3.06 -4.14 0.37	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 20:13:21 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 1.58 1.58 0.012                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -3.90 -5.30 0.48	yaw: 0.01	msg/s 0.0
