INFO: 03-11-2022 19:47:23 __init__(113) -- This is drone log from Drogno_5
INFO: 03-11-2022 19:47:27 log_status(190) -- Logger started
INFO: 03-11-2022 19:47:28 log_status(194) -- Drogno_5: ready	battery: 4.18                    	kalman var: 0.001 0.001 0.001                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.08 -0.01	yaw: 4.04	msg/s 0.9
INFO: 03-11-2022 19:47:29 log_status(194) -- Drogno_5: ready	battery: 4.18                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.97 0.09 -0.02	yaw: 4.55	msg/s 0.0
INFO: 03-11-2022 19:47:30 log_status(194) -- Drogno_5: ready	battery: 4.18                    	kalman var: 0.0 0.0 0.001                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.08 -0.00	yaw: 3.76	msg/s 0.0
INFO: 03-11-2022 19:47:31 log_status(194) -- Drogno_5: ready	battery: 4.17                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.08 -0.01	yaw: 4.18	msg/s 0.0
INFO: 03-11-2022 19:47:32 log_status(194) -- Drogno_5: ready	battery: 4.18                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.09 -0.01	yaw: 4.09	msg/s 0.0
INFO: 03-11-2022 19:47:33 log_status(194) -- Drogno_5: ready	battery: 4.17                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.97 0.09 -0.02	yaw: 4.62	msg/s 0.0
INFO: 03-11-2022 19:47:34 log_status(194) -- Drogno_5: ready	battery: 4.17                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.09 -0.01	yaw: 4.34	msg/s 0.0
INFO: 03-11-2022 19:47:35 log_status(194) -- Drogno_5: ready	battery: 4.17                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.08 -0.00	yaw: 3.84	msg/s 0.0
INFO: 03-11-2022 19:47:36 log_status(194) -- Drogno_5: ready	battery: 4.17                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 55	flight time: 0s                    	pos -0.96 0.09 -0.01	yaw: 3.97	msg/s 0.0
INFO: 03-11-2022 19:47:38 log_status(194) -- Drogno_5: ready	battery: 4.17                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.09 -0.01	yaw: 4.29	msg/s 0.0
INFO: 03-11-2022 19:47:39 log_status(194) -- Drogno_5: ready	battery: 4.17                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.09 -0.01	yaw: 4.19	msg/s 0.0
INFO: 03-11-2022 19:47:40 log_status(194) -- Drogno_5: ready	battery: 4.17                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 55	flight time: 0s                    	pos -0.96 0.09 -0.01	yaw: 4.30	msg/s 0.0
INFO: 03-11-2022 19:47:41 log_status(194) -- Drogno_5: ready	battery: 4.17                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.09 -0.01	yaw: 4.05	msg/s 0.0
