INFO: 26-10-2022 17:41:27 __init__(111) -- This is drone log from Drogno_6
INFO: 26-10-2022 17:41:28 log_status(393) -- Logger started
INFO: 26-10-2022 17:41:30 log_status(397) -- Drogno_6: BAD kalman	battery: 4.05                    	kalman var: 1.591 1.591 0.265                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos 0.25 0.62 -3.96	yaw: -23.12	msg/s 0.0
INFO: 26-10-2022 17:41:31 log_status(397) -- Drogno_6: BAD kalman	battery: 4.05                    	kalman var: 3.475 3.473 0.266                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 0.53 1.44 -6.20	yaw: -20.06	msg/s 0.0
INFO: 26-10-2022 17:41:32 log_status(397) -- Drogno_6: out of BOX	battery: 4.05                    	kalman var: 4.816 4.812 0.061                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.02 0.16 13.12	yaw: -81.25	msg/s 0.0
INFO: 26-10-2022 17:41:33 log_status(397) -- Drogno_6: ready	battery: 4.05                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 40	flight time: 0s                    	pos 0.00 -0.01 0.00	yaw: -0.02	msg/s 0.0
INFO: 26-10-2022 17:41:34 log_status(397) -- Drogno_6: ready	battery: 4.05                    	kalman var: 0.0 0.001 0.001                    	batterySag: 0.5	link quality: 40	flight time: 0s                    	pos -0.46 1.35 0.83	yaw: -95.75	msg/s 0.0
INFO: 26-10-2022 17:41:35 log_status(397) -- Drogno_6: out of BOX	battery: 4.05                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 1.97 1.47 2.98	yaw: -111.00	msg/s 0.0
INFO: 26-10-2022 17:41:36 log_status(397) -- Drogno_6: ready	battery: 4.05                    	kalman var: 0.0 0.001 0.0                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 0.44 1.39 1.65	yaw: -113.88	msg/s 0.0
INFO: 26-10-2022 17:41:38 log_status(397) -- Drogno_6: ready	battery: 4.05                    	kalman var: 0.001 0.002 0.001                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -2.50 1.44 -0.82	yaw: -123.81	msg/s 0.0
INFO: 26-10-2022 17:41:39 log_status(397) -- Drogno_6: out of BOX	battery: 4.05                    	kalman var: 0.001 0.003 0.002                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -3.38 1.40 -1.53	yaw: -119.25	msg/s 0.0
INFO: 26-10-2022 17:41:40 log_status(397) -- Drogno_6: ready	battery: 4.05                    	kalman var: 0.0 0.0 0.001                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos 1.64 1.49 2.62	yaw: -119.12	msg/s 0.0
INFO: 26-10-2022 17:41:41 log_status(397) -- Drogno_6: ready	battery: 4.05                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos 1.59 1.49 2.58	yaw: -118.56	msg/s 0.0
INFO: 26-10-2022 17:41:42 log_status(397) -- Drogno_6: ready	battery: 4.05                    	kalman var: 0.0 0.001 0.001                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos 1.59 1.45 2.59	yaw: -114.31	msg/s 0.0
INFO: 26-10-2022 17:41:43 log_status(397) -- Drogno_6: ready	battery: 3.69                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos 1.64 1.49 2.61	yaw: -124.62	msg/s 0.0
INFO: 26-10-2022 17:41:44 log_status(397) -- Drogno_6: ready	battery: 3.63                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.11 1.48 2.20	yaw: -129.12	msg/s 0.0
INFO: 26-10-2022 17:41:45 log_status(397) -- Drogno_6: ready	battery: 3.69                    	kalman var: 0.0 0.0 0.001                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.36 1.52 2.29	yaw: -129.38	msg/s 0.0
INFO: 26-10-2022 17:41:46 log_status(397) -- Drogno_6: ready	battery: 3.71                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos 1.68 1.48 2.66	yaw: -131.88	msg/s 0.0
INFO: 26-10-2022 17:41:47 log_status(397) -- Drogno_6: ready	battery: 3.71                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.61 1.48 2.60	yaw: -133.62	msg/s 0.0
INFO: 26-10-2022 17:41:49 log_status(397) -- Drogno_6: ready	battery: 3.71                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.60 1.48 2.59	yaw: -134.88	msg/s 0.0
INFO: 26-10-2022 17:41:50 log_status(397) -- Drogno_6: ready	battery: 3.73                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 0s                    	pos 1.62 1.47 2.62	yaw: -136.50	msg/s 0.0
INFO: 26-10-2022 17:41:51 log_status(397) -- Drogno_6: ready	battery: 3.71                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 52	flight time: 0s                    	pos 1.61 1.48 2.60	yaw: -138.12	msg/s 0.0
INFO: 26-10-2022 17:41:52 log_status(397) -- Drogno_6: ready	battery: 3.68                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.60 1.48 2.59	yaw: -138.62	msg/s 0.0
INFO: 26-10-2022 17:41:53 log_status(397) -- Drogno_6: ready	battery: 3.7                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.61 1.46 2.59	yaw: -139.50	msg/s 0.0
INFO: 26-10-2022 17:41:54 log_status(397) -- Drogno_6: ready	battery: 3.67                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.61 1.48 2.60	yaw: -139.50	msg/s 0.0
INFO: 26-10-2022 17:41:55 log_status(397) -- Drogno_6: ready	battery: 3.68                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.62 1.47 2.61	yaw: -139.88	msg/s 0.0
INFO: 26-10-2022 17:41:56 log_status(397) -- Drogno_6: ready	battery: 3.67                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.61 1.46 2.59	yaw: -140.00	msg/s 0.0
INFO: 26-10-2022 17:41:57 log_status(397) -- Drogno_6: ready	battery: 3.68                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.62 1.48 2.61	yaw: -140.25	msg/s 0.0
INFO: 26-10-2022 17:41:58 log_status(397) -- Drogno_6: ready	battery: 3.67                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.60 1.48 2.59	yaw: -140.62	msg/s 0.0
INFO: 26-10-2022 17:42:00 log_status(397) -- Drogno_6: ready	battery: 3.7                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.62 1.48 2.61	yaw: -141.38	msg/s 0.0
INFO: 26-10-2022 17:42:01 log_status(397) -- Drogno_6: ready	battery: 3.7                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 52	flight time: 0s                    	pos 1.62 1.48 2.61	yaw: -142.00	msg/s 0.0
INFO: 26-10-2022 17:42:02 log_status(397) -- Drogno_6: ready	battery: 3.71                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.63 1.48 2.61	yaw: -142.88	msg/s 0.0
INFO: 26-10-2022 17:42:03 log_status(397) -- Drogno_6: ready	battery: 3.71                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 52	flight time: 0s                    	pos 1.61 1.48 2.60	yaw: -143.25	msg/s 0.0
INFO: 26-10-2022 17:42:04 log_status(397) -- Drogno_6: ready	battery: 3.71                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 52	flight time: 0s                    	pos 1.60 1.47 2.58	yaw: -143.62	msg/s 0.0
INFO: 26-10-2022 17:42:05 log_status(397) -- Drogno_6: ready	battery: 3.7                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 52	flight time: 0s                    	pos 1.61 1.48 2.60	yaw: -143.88	msg/s 0.0
INFO: 26-10-2022 17:42:06 log_status(397) -- Drogno_6: ready	battery: 3.69                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 0s                    	pos 1.61 1.48 2.60	yaw: -144.00	msg/s 0.0
INFO: 26-10-2022 17:42:07 log_status(397) -- Drogno_6: ready	battery: 3.69                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 52	flight time: 0s                    	pos 1.61 1.48 2.60	yaw: -144.25	msg/s 0.0
INFO: 26-10-2022 17:42:08 log_status(397) -- Drogno_6: ready	battery: 3.67                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 52	flight time: 0s                    	pos 1.60 1.47 2.59	yaw: -144.12	msg/s 0.0
INFO: 26-10-2022 17:42:09 log_status(397) -- Drogno_6: ready	battery: 3.66                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 0s                    	pos 1.61 1.48 2.60	yaw: -144.12	msg/s 0.0
INFO: 26-10-2022 17:42:11 log_status(397) -- Drogno_6: ready	battery: 3.63                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 53	flight time: 0s                    	pos 1.56 1.47 2.54	yaw: -144.00	msg/s 0.0
INFO: 26-10-2022 17:42:12 log_status(397) -- Drogno_6: ready	battery: 3.63                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 0s                    	pos 1.63 1.48 2.62	yaw: -144.00	msg/s 0.0
INFO: 26-10-2022 17:42:13 log_status(397) -- Drogno_6: ready	battery: 3.59                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 0s                    	pos 1.60 1.48 2.61	yaw: -144.25	msg/s 0.0
INFO: 26-10-2022 17:42:14 log_status(397) -- Drogno_6: ready	battery: 3.58                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 1.53 1.47 2.59	yaw: -144.38	msg/s 0.0
INFO: 26-10-2022 17:42:15 log_status(397) -- Drogno_6: ready	battery: 3.58                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 1.55 1.46 2.64	yaw: -142.50	msg/s 0.0
