Time,x,y,z,Red,Green,Blue
101,1.6029436588287354,-0.7899518013000488,0.0,0,0,0
202,1.6016502380371094,-0.7899398803710938,0.0,0,0,0
303,1.6007897853851318,-0.7899312973022461,0.0,0,0,0
403,1.5994963645935059,-0.7899173498153687,0.0,0,0,0
504,1.598644495010376,-0.7899073362350464,0.0,0,0,0
604,1.5973511934280396,-0.789891242980957,0.0,0,0,0
705,1.5964888334274292,-0.7898796796798706,0.0,0,0,0
805,1.5952061414718628,-0.7898615598678589,0.0,0,0,0
907,1.5943437814712524,-0.7898486852645874,0.0,0,0,0
1008,1.5930613279342651,-0.7898284196853638,0.0,0,0,0
1108,1.5909267663955688,-0.7898141145706177,0.0,0,0,0
1209,1.5869140625,-0.7897915840148926,0.0,0,0,0
1310,1.5838358402252197,-0.7897758483886719,0.0,0,0,0
1411,1.5784727334976196,-0.7897512912750244,0.0,0,0,0
1512,1.5745289325714111,-0.7897341251373291,0.0,0,0,0
1612,1.5681349039077759,-0.7897071838378906,0.0,0,0,0
1712,1.5610543489456177,-0.7896791696548462,0.0,0,0,0
1813,1.5558334589004517,-0.7896596193313599,0.0,0,0,0
1914,1.547991156578064,-0.7896294593811035,0.0,0,0,0
2015,1.542027473449707,-0.7896084785461426,0.0,0,0,0
2116,1.5331815481185913,-0.7895762920379639,0.0014588263584300876,0,0,0
2216,1.526970386505127,-0.7895541191101074,0.006451411172747612,0,0,0
2316,1.5171736478805542,-0.7895194292068481,0.01963864266872406,0,0,0
2417,1.5103473663330078,-0.7894960641860962,0.03130153939127922,0,0,0
2518,1.4996472597122192,-0.7894593477249146,0.05288243293762207,0,0,0
2618,1.4922173023223877,-0.7894340753555298,0.0697222352027893,0,0,0
2719,1.4812358617782593,-0.7893954515457153,0.09724844992160797,0,0,0
2820,1.4732545614242554,-0.789368748664856,0.11740712821483612,0,0,0
2921,1.4611929655075073,-0.7893279790878296,0.14943987131118774,0,0,0
3022,1.4530041217803955,-0.7893000841140747,0.1721906065940857,0,0,0
3123,1.4412169456481934,-0.7892806529998779,0.20750415325164795,0,0,0
3224,1.4332008361816406,-0.7892853021621704,0.23224836587905884,85,85,85
3325,1.4217666387557983,-0.7893009185791016,0.27028489112854004,130,130,130
3425,1.4143757820129395,-0.7893182039260864,0.29631179571151733,165,165,165
3526,1.4029905796051025,-0.7893557548522949,0.3361155092716217,227,227,227
3627,1.394997000694275,-0.7893900871276855,0.36279046535491943,255,255,255
3727,1.3848183155059814,-0.7894569635391235,0.403495728969574,255,255,255
3827,1.3742501735687256,-0.7895399332046509,0.44480234384536743,247,247,247
3928,1.3676652908325195,-0.7896010875701904,0.47254645824432373,183,183,183
4028,1.357488751411438,-0.7896931171417236,0.5142804980278015,129,129,129
4129,1.3508943319320679,-0.7897497415542603,0.5420700311660767,98,98,98
4231,1.3402050733566284,-0.789821982383728,0.5835127830505371,59,59,59
4331,1.3330578804016113,-0.7898614406585693,0.6108685731887817,39,39,39
4431,1.3222836256027222,-0.7899081707000732,0.6516523361206055,17,17,17
4531,1.3144699335098267,-0.7899322509765625,0.6784340143203735,7,7,7
4632,1.3063753843307495,-0.7899513244628906,0.7047010064125061,1,1,1
4733,1.2933298349380493,-0.7899726629257202,0.743449330329895,0,0,0
4834,1.2807122468948364,-0.7899867296218872,0.7811638712882996,7,7,7
4935,1.271691083908081,-0.7899929285049438,0.8051133751869202,17,17,17
5035,1.2583085298538208,-0.7899982929229736,0.8401644825935364,39,39,39
5136,1.2488324642181396,-0.7899997234344482,0.8622662425041199,60,60,60
5237,1.234796404838562,-0.7899993658065796,0.8936928510665894,98,98,98
5338,1.2249163389205933,-0.7899976968765259,0.9132236242294312,129,129,129
5439,1.2103263139724731,-0.789993405342102,0.9396975040435791,184,184,184
5540,1.200058102607727,-0.789989709854126,0.9555785655975342,225,225,225
5640,1.1849385499954224,-0.789982795715332,0.9754050970077515,255,255,255
5741,1.174358606338501,-0.7899775505065918,0.9859592914581299,255,255,255
5841,1.1587939262390137,-0.7899688482284546,0.9967658519744873,227,227,227
5942,1.1479202508926392,-0.789962649345398,0.9998290538787842,185,185,185
6043,1.1319743394851685,-0.7899525165557861,1.000122308731079,130,130,130
6143,1.120826244354248,-0.7899458408355713,1.0005122423171997,99,99,99
6244,1.1044903993606567,-0.7899352312088013,1.021942377090454,60,60,60
6345,1.093122959136963,-0.7899279594421387,1.0264673233032227,40,40,40
6445,1.0753532648086548,-0.7899169921875,1.0301469564437866,18,18,18
6546,1.0648934841156006,-0.7899094820022583,1.0318994522094727,8,8,8
6647,1.0468473434448242,-0.7898980379104614,1.0340304374694824,0,0,0
