Time,x,y,z,Red,Green,Blue
101,0.4998718500137329,-1.1920928955078125e-06,1.0,0,0,0
201,0.49889618158340454,-1.3172626495361328e-05,1.0,0,0,0
302,0.4980158507823944,-2.5272369384765625e-05,1.0,0,0,0
402,0.49661222100257874,-4.7266483306884766e-05,1.0,0,0,0
502,0.4955865144729614,-6.341934204101562e-05,1.0,0,0,0
603,0.494069367647171,-9.02414321899414e-05,1.0,0,0,0
703,0.49299463629722595,-0.00010859966278076172,1.0,0,0,0
804,0.49131500720977783,-0.00013893842697143555,1.0,0,0,0
904,0.49022722244262695,-0.00015938282012939453,1.0,0,0,0
1005,0.48848530650138855,-0.00019222497940063477,1.0,0,0,0
1106,0.4873567521572113,-0.0002136826515197754,1.0,0,0,0
1206,0.4856300950050354,-0.0002487301826477051,1.0,0,0,0
1307,0.4845004975795746,-0.00027173757553100586,1.0,0,0,0
1407,0.4827346205711365,-0.00030815601348876953,1.0,0,0,0
1507,0.4815104603767395,-0.0003337860107421875,1.0,0,0,0
1608,0.4797346889972687,-0.00037157535552978516,1.0,0,0,0
1708,0.47855550050735474,-0.00039702653884887695,1.0,0,0,0
1808,0.4766637086868286,-0.000437319278717041,1.0,0,0,0
1909,0.47555169463157654,-0.0004640817642211914,1.0,0,0,0
2010,0.4736974239349365,-0.0005056858062744141,1.0,255,255,255
2110,0.4725276529788971,-0.0005323886871337891,1.0,215,215,215
2211,0.47058093547821045,-0.0005748867988586426,1.0,155,155,155
2312,0.46935513615608215,-0.0006034374237060547,1.0,121,121,121
2412,0.467477411031723,-0.0006464719772338867,1.0,78,78,78
2512,0.4663607180118561,-0.0006768107414245605,1.0,55,55,55
2613,0.46441036462783813,-0.0007224082946777344,1.0,27,27,27
2713,0.4632519483566284,-0.0007520318031311035,1.0,14,14,14
2814,0.4614012539386749,-0.0007976889610290527,1.0,2,2,2
2915,0.46003231406211853,-0.000828862190246582,1.0,0,0,0
3015,0.4582066833972931,-0.0008730888366699219,1.0,2,2,2
3116,0.4562038779258728,-0.0002015233039855957,1.0,9,9,9
3216,0.4500137269496918,0.004179716110229492,1.0,27,27,27
3316,0.44392311573028564,0.008897244930267334,1.0,44,44,44
3417,0.43138793110847473,0.019052624702453613,1.0,78,78,78
3517,0.42101603746414185,0.02733820676803589,1.0,106,106,106
3618,0.4016527533531189,0.04252690076828003,1.0,155,155,155
3718,0.3860691785812378,0.054186463356018066,1.0,194,194,194
3819,0.3590601980686188,0.07327759265899658,1.0,255,255,255
3919,0.3383590579032898,0.08697015047073364,1.0,255,255,255
4020,0.30261459946632385,0.10844159126281738,1.0,255,255,255
4121,0.2761373519897461,0.1228262186050415,1.0,215,215,215
4221,0.23163412511348724,0.14404231309890747,1.0,155,155,155
4321,0.19913987815380096,0.15745842456817627,1.0,121,121,121
4422,0.14601390063762665,0.17573946714401245,1.0,78,78,78
4523,0.10737963020801544,0.18628358840942383,1.0,55,55,55
4624,0.045948997139930725,0.19869685173034668,1.0,27,27,27
4725,0.0026988089084625244,0.2042810320854187,1.0,14,14,14
4825,-0.06512798368930817,0.20791351795196533,1.0,2,2,2
4925,-0.11075486242771149,0.20687323808670044,1.0,0,0,0
5026,-0.18273089826107025,0.1994686722755432,1.0,2,2,2
5126,-0.23018839955329895,0.19065243005752563,1.0,9,9,9
5228,-0.30162668228149414,0.1711612343788147,1.0,27,27,27
5328,-0.34820881485939026,0.15412050485610962,1.0,44,44,44
5429,-0.4171442985534668,0.12202668190002441,1.0,78,78,78
5529,-0.4610311686992645,0.09685540199279785,1.0,106,106,106
5629,-0.5229789614677429,0.053938329219818115,1.0,155,155,155
5730,-0.5795813202857971,0.005355894565582275,1.0,215,194,194
5830,-0.6151394248008728,-0.030724257230758667,1.0,255,255,255
5931,-0.662334680557251,-0.0877189040184021,1.0,255,255,255
6031,-0.6899617314338684,-0.12712502479553223,1.0,255,255,255
6132,-0.7258790731430054,-0.1887734830379486,1.0,194,194,194
6233,-0.7467195987701416,-0.2320818305015564,1.0,156,156,156
6333,-0.7641720771789551,-0.2751845717430115,1.0,121,121,121
6434,-0.784475564956665,-0.33997294306755066,1.0,78,78,78
6535,-0.7983623147010803,-0.40445664525032043,1.0,44,44,44
6636,-0.80438232421875,-0.44673845171928406,1.0,27,27,27
6736,-0.8084697127342224,-0.5086081027984619,1.0,9,9,9
